Term,PosScore,NegScore
austere,0.0,-0.9
fusty,0.0,-0.9
ghetto,0.0,-0.9
jumpy,0.0,-0.9
crushed,0.0,-0.9
destains,0.0,-0.9
assault,0.0,-0.9
ferociously,0.0,-0.9
hard,0.0,-0.9
prate,0.0,-0.9
fat-cat,0.0,-0.9
exorbitantance,0.0,-0.9
hassles,0.0,-0.9
abysmally,0.0,-0.9
demeaning,0.0,-0.9
immodest,0.0,-0.9
harms,0.0,-0.9
irresolvable,0.0,-0.9
limitations,0.0,-0.9
dawdle,0.0,-0.9
shrouded,0.0,-0.9
smuttiest,0.0,-0.9
passe,0.0,-0.9
mistake,0.0,-0.9
clunky,0.0,-0.9
abuse,0.0,-0.9
sink,0.0,-0.9
floundering,0.0,-0.9
harrow,0.0,-0.9
deceiving,0.0,-0.9
hellion,0.0,-0.9
noise,0.0,-0.9
bother,0.0,-0.9
perfidious,0.0,-0.9
opportunistic,0.0,-0.9
irately,0.0,-0.9
perturbed,0.0,-0.9
belligerence,0.0,-0.9
rebuke,0.0,-0.9
unbelievably,0.0,-0.9
catastrophically,0.0,-0.9
cuss,0.0,-0.9
prohibit,0.0,-0.9
disclaim,0.0,-0.9
bullyingly,0.0,-0.9
enraging,0.0,-0.9
dud,0.0,-0.9
admonish,0.0,-0.9
bravado,0.0,-0.9
disappointed,0.0,-0.9
unsure,0.0,-0.9
repress,0.0,-0.9
impudence,0.0,-0.9
ruin,0.0,-0.9
banal,0.0,-0.9
lagging,0.0,-0.9
discontent,0.0,-0.9
shunned,0.0,-0.9
cold,0.0,-0.9
creak,0.0,-0.9
untruthful,0.0,-0.9
dehumanize,0.0,-0.9
thug,0.0,-0.9
worthlessly,0.0,-0.9
vagrant,0.0,-0.9
accursed,0.0,-0.9
bum,0.0,-0.9
loathly,0.0,-0.9
chunky,0.0,-0.9
sputter,0.0,-0.9
eviscerate,0.0,-0.9
limp,0.0,-0.9
loneliness,0.0,-0.9
self-interest,0.0,-0.9
picketed,0.0,-0.9
squash,0.0,-0.9
disorder,0.0,-0.9
strange,0.0,-0.9
struck,0.0,-0.9
betrayal,0.0,-0.9
disturb,0.0,-0.9
